Index,Inside,Color,State,Shape,Material,Object,Finish,Metal Clip,Rubber Ring,Handle,Closure,Affordance:Empty,Affordance:Fill,Affordance:Close,Affordance:Open,Affordance:Unscrew,Affordance:Lift,Affordance:Swing,Affordance:PullRubber,Affordance:RemoveClip,Affordance:GrabHandle,Affordance:FlipOff,Affordance:FlipLid,Affordance:Squeeze,Affordance:PressDown,Affordance:PullUp,Affordance:Corkscrew,Affordance:RemoveSeal
0,Full,Opaque,Open,Cylindrical,Plastic,Jar,Snap,False,False,False,Snap,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Full,Transparent,Closed,Complex,Glass,Bottle,Complex,False,False,False,No,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Full,Translucent,Closed,Oval,Plastic,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
3,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
4,Empty,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
5,Empty,Transparent,Closed,Cylindrical,Plastic,Container,Twist,False,False,False,Screw,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
7,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
8,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
9,Full,Transparent,Closed,Complex,Plastic,Container,Complex,False,False,False,No,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
11,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
12,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
13,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
14,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Empty,Transparent,Closed,Complex,Glass,Container,Complex,False,False,False,No,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
19,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
22,Full,Transparent,Closed,Conical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
23,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Full,Opaque,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Empty,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
30,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
31,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Crown,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
32,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
33,Empty,Transparent,Closed,Complex,Glass,Bottle,Snap,False,False,False,Snap,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
34,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
35,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
36,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
38,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
39,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
40,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
41,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
42,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
44,Empty,Translucent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Full,Translucent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
48,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
50,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Complex,False,False,False,Crown,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
51,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
53,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
54,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
55,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
56,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
59,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
60,Empty,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
61,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
62,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
63,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
64,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
65,Full,Transparent,Closed,Conical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
66,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,Empty,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,Full,Transparent,Closed,Conical,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
69,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,Full,Transparent,Closed,Oval,Glass,Bottle,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
71,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
72,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
74,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
79,Empty,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
82,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
83,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
