,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
0,007055-4,natural-plastic-stopper-for-bottle-aroma-elise-100ml,,,,,,,,,
1,007075-161,stopper-a315-threaded-spp315x24-gold-with-pourer,Metal,metal-golden,,,,,,,
2,007075-157,stopper-a315-threaded-spp315x24-black-with-pourer,Metal,metal-black,,,,,,,
3,007075-160,stopper-a315-threaded-spp315x24-green-with-pourer,Metal,metal-green,,,,,,,
4,007074-447,blue-stopper-38-mm,Plastic,plastic-blue,,,,,,,
5,007074-217,stopper-blue-sintetico-42x22,Synthetic,synthetic-blue,,,,,,,
6,007074-457,stopper-white-sintetico-42x22,Synthetic,synthetic-white,,,,,,,
7,007055-12,natural-synthetic-cork-stopper-215x13,Synthetic,,"21,50 mm","10,00 mm",,,,,
8,007074-355,white-child-resistant-pp28-cap,Plastic,plastic-white,,,,,,,
9,007073-134,conical-cork-stopper-carmen-20-x-13-x-10,Cork,stopper-cork,,,boca-carmen,conical,,,
10,007073-33,stopper-cork-dosif-oro-frasca-250--bolsa--hilo,Cork,plastic-golden,,,,,,,
11,007073-24,stopper-cork-dosif-transparente-frasca-250--bolsa--hilo,Plastic,plastic-transparent,,,,,,,
12,007073-16,stopper-cork-dosif-transparente-frasca-500,Plastic,metal-blue light,,,,,,,
13,007073-43,stopper-cork-dosif-transparente-frasca-500--bolsa--hilo,Plastic,plastic-transparent,,,,,,,
14,007075-188,crown-26-stopper-yellow,Metal,metal-yellow,,,,,,,
15,007075-184,crown-26-stopper-light-blue,Metal,metal-blue light,,,,,,,
16,007075-185,crown-26-stopper-medium-blue,Metal,metal-blue medium,,,,,,,
17,007075-186,crown-26-stopper-dark-blue,Metal,metal-blue dark,,,,,,,
18,007075-179,crown-26-stopper-white,Metal,metal-white,,,,,,,
19,007075-169,crown-26-stopper-gold,Metal,metal-golden,,,,,,,
20,007075-187,crown-26-stopper-red-ruby,Metal,metal-cherry,,,,,,,
21,007075-190,crown-26-stopper-orange,Metal,metal-orange,,,,,,,
22,007075-180,crown-26-stopper-black,Metal,metal-black,,,,,,,
23,007075-181,crown-26-stopper-silver,Metal,metal-silverish,,,,,,,
24,007075-183,crown-26-stopper-red,Metal,metal-red,,,,,,,
25,007075-189,crown-26-stopper-medium-green,Metal,metal-green,,,,,,,
26,007075-210,crown-26-stopper-green,Metal,metal-green,,,,,,,
27,007075-191,crown-cap-29-gold,Metal,metal-golden,,,,,,,
28,007075-199,crown-cap-29-black,Metal,metal-black,,,,,,,
29,007073-144,cork-stopper-with-wooden-head-moonea-70,Wood,,,,,,,,
30,007073-133,cork-stopper-with-plastic-head-29x12-mm,Cork,stopper-black,,,,,,,
31,007074-13,glass-dropper-030-ml-pp28,Plastic,plastic-white,,,,,,,
32,007074-14,glass-dropper-060-ml-pp28,Plastic,plastic-white,,,,,,,
33,007074-15,glass-dropper-125-ml-pp28,Plastic,plastic-white,,,,,,,
34,007074-122,tapon-pipeta-15ml-cprecinto-pp18,Plastic,plastic-white translucent,,,,,,,
35,007075-308,aluminum-cap-pp28,Metal,metal-silverish,,,,,,,
36,007073-159,non-refillable-cork-stopper-with-spout,Metal,,,,,,,,
37,007073-157,cork-stopper-for-terra-bottle,,,,,,,,,
38,007074-434,synthetic-cork-stopper-with-silver-head,Synthetic,,,,,,,,
39,007074-530,plastic-cap-for-miniature-bottle-baby,Plastic,plastic-black,,,,,,,
40,007055-10,black-cylindrical-diffuser-cap-d37,Textile,,,,,,,,
41,007055-2,gold-diffuser-cap-for-aroma-bottle-100ml,Plastic,plastic-golden,,,,cylindrical,,,
42,007055-3,silver-diffuser-cap-for-aroma-bottle-100ml,Plastic,plastic-silverish,,,,,,,
43,007074-293,white-cap-din-61,Plastic,plastic-white,,,,,,,
44,007075-323,farma-gpi-40022-silver-cap,Metal,metal-silverish,,,,,,,
45,007074-520,white-flip-flop-stopper-for-gels-38-mm,Plastic,plastic-white,,,,,,,
46,007074-521,red-flip-flop-stopper-for-gels-38-mm,Plastic,plastic-red,,,,,,,
47,007074-8,stopper-dropper-ancho-white-pp28,Plastic,plastic-white,,,,,,,
48,007074-7,stopper-dropper-con-precinto-din-18,Plastic,plastic-white,,,,,,,
49,007074-33,stopper-dropper-pp28,Plastic,white,,,,,,,
50,007074-150,stopper-gpi-400-28,Plastic,plastic-silverish,,,,,,,
51,007074-393,guala-dop-non-refillable-stopper-black-with-oil-spout,Plastic,plastic-black,,,,,,,
52,007074-163,stopper-guala-dop-non-refillable-black-with-pourer,Plastic,plastic-black,,,,,,,
53,007075-173,swing-stopper,Metal,,,,,,,,
54,007075-219,ceramic-swing-stopper-costolata,Metal,,,,,,,,
55,007075-214,swing-stopper-costolata,Metal,,,,,,,,
56,007075-75,stopper-miniatura-16-17-oro-screw-top,Metal,metal-golden,,,,,,,
57,007074-604,stopper-naranja-38-mm-38-33-3-threads,Plastic,plastic-orange,,,,,,,
58,007074-372,white-stopper-38-mm-38-33-3-threads,Plastic,plastic-white translucent,,,,,,,
59,007074-223,stopper-natural-sintetico,Synthetic,synthetic-cork,,,,,,,
60,007074-236,stopper-cork-style-sintetico-42x22,Synthetic,synthetic-cork,,,,,,,
61,007074-284,black-cap-2921-two-pieces,Plastic,plastic-black,,,,,,,
62,007074-375,stopper-black-38-mm-38-33-3-threads,Plastic,plastic-black,,,,,,,
63,007073-14,stopper-n-10-cabeza-madera-frasca-500,Cork,stopper-wood,,,,,,,
64,007073-12,stopper-n-11-cork-mini-a8-frasca-125,Cork,stopper-cork,,,,,,,
65,007073-1,stopper-n-12-cork-cilindrico-colmatado,Cork,stopper-cork,,,,cylindrical,,,
66,007073-9,stopper-n-13-cork-cabeza-madera,Cork,stopper-wood,,,,,,,
67,007073-53,stopper-n-19-cork-cabeza-madera-frasca-100,Cork,stopper-wood,,,,,,,
68,007073-96,stopper-n-21-cork-cabeza-madera-raffaello-500,Cork,stopper-wood,,,,,,,
69,007073-6,stopper-n-3-cork-conico-frasca-250,Cork,stopper-cork,,,,,,,
70,007073-7,stopper-n-5-cork-frasca-500,Cork,stopper-cork,,,,,,,
71,007073-3,no-6-cork-frascas-for-750-and-1000-ml-bottles,Cork,stopper-cork,,,,,,,
72,007073-11,stopper-n-8-cork-cabeza-mad-3320-frasca-250,Cork,stopper-wood,,,,,,,
73,007073-93,stopper-n-8-cork-cabeza-madera-barniz-black,Cork,stopper-black,,,,,,,
74,007073-13,stopper-n-9-cork-cabeza-madera-frasca-1000,Cork,stopper-wood,,,,,,,
75,007073-18,stopper-n2-cork-cabezudo-black,Cork,stopper-black,,,,,,,
76,007075-81,stopper-pilfer-315-x-24-black,Metal,synthetic-black,,,,,,,
77,007075-99,stopper-pilfer-315-x-24-green,Metal,metal-green,,,,,,,
78,007075-197,stopper-pilfer-315x24-non-refillable-black-with-pourer,Metal,metal-black,,,,,,,
79,007075-236,stopper-pilfer-315x24-non-refillable-gold-with-pourer,Metal,metal-golden,,,,,,,
80,007075-196,stopper-pilfer-315x24-non-refillable-green-with-pourer,Metal,metal-green,,,,,,,
81,007074-565,plastic-cap-cv-manual-black-315-x-24,Plastic,plastic-black,,,,,,,
82,007075-114,plastic-cap-cv-manual-green-315-x-24,Plastic,plastic-green,,,,,,,
83,007074-341,stopper-precinto-white-pp28,Plastic,white,,,,,,,
84,007074-9,stopper-precinto-white-and-red-pp28,Plastic,plastic-white,,,,,,,
85,007074-308,red-cap-3629-two-pieces,Plastic,plastic-red,,,Lid 36/29,,,,
86,007074-402,stopper-red-38-mm-38-33-3-threads,Plastic,plastic-red,,,,,,,
87,007074-342,red-stopper-4234,Plastic,plastic-red,,,Lid 42/34,,,,
88,007074-289,tapon-rojo-pco-28-mm,Plastic,,,,PCO 28mm,,,,
89,007074-583,stopper-red-sintetico,Synthetic,synthetic-cork,,,,,,,
90,007074-287,green-cap-2921-two-pieces,Plastic,plastic-green,,,Cap 29/21,,,,
91,007074-307,green-cap-3629-two-pieces,Plastic,plastic-green,,,Lid 36/29,,,,
92,007074-396,stopper-green-38-mm-38-33-3-threads,Plastic,plastic-green,,,,,,,
93,007074-332,green-stopper-4234,Plastic,plastic-green,,,Lid 42/34,,,,
94,007074-38,silver-atomizer-18415,Plastic,,,,,,,,
