,SKU reference,Material,Color,Name,Weight,Diameter,Height
0,007074-355,Plastic,plastic-white,white-child-resistant-pp28-cap,,,
1,007074-13,Plastic,plastic-white,glass-dropper-030-ml-pp28,,,
2,007074-14,Plastic,plastic-white,glass-dropper-060-ml-pp28,,,
3,007074-15,Plastic,plastic-white,glass-dropper-125-ml-pp28,,,
4,007074-122,Plastic,plastic-white translucent,tapon-pipeta-15ml-cprecinto-pp18,,,
5,007075-308,Metal,metal-silverish,aluminum-cap-pp28,,,
6,007074-8,Plastic,plastic-white,stopper-dropper-ancho-white-pp28,,,
7,007074-7,Plastic,plastic-white,stopper-dropper-con-precinto-din-18,,,
8,007074-33,Plastic,white,stopper-dropper-pp28,,,
9,007074-341,Plastic,white,stopper-precinto-white-pp28,,,
10,007074-9,Plastic,plastic-white,stopper-precinto-white-and-red-pp28,,,
11,007074-158,Plastic,black,tapon-precinto-pp18-negro,4 grs,"23,00 mm","18,00 mm"
