,SKU reference,Weight,Material,Diameter,Finish,Name,Capacity
0,00138-532,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,apricot-paper-lid-cover,
1,00138-536,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,cover-paper-lids-bee,
2,00138-548,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,cover-chanel-paper-lids,
3,00138-552,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,chrismas-paper-lid-covers,
4,00138-560,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,covers-cork-paper-lids,
5,00138-566,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,fork-paper-lid-covers,
6,00138-570,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,fruits-paper-lid-covers,
7,00138-598,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,red-polka-dot-paper-lid-covers,
8,00138-602,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,covers-paper-lids-wood,
9,00138-606,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,honeycomb-paper-lid-covers,
10,00138-610,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,black-pincho-paper-lid-cover,
11,00138-614,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,paper-lid-covers-presents,
12,00138-544,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,cover-paper-caps-socks,
13,00138-625,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,strawberry-paper-lid-covers,
14,00138-629,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,covers-paper-lids-strokes,
15,00138-644,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,yellow-vichy-paper-covers,
16,00138-652,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,blue-vichy-paper-covers,
17,00138-633,1 grs,Paper,"130,00 mm",Rubbers-Cover lids,brown-vichy-paper-covers,
18,00138-640,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,red-vichy-paper-covers,
19,00138-656,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,large-green-vichy-paper-lid-cover,
20,00138-648,1 grs,Paper,"140,00 mm",Rubbers-Cover lids,small-green-gingham-paper-lid-cover,
21,00138-666,1 grs,,"140,00 mm",,rubber-bands-for-covers-blue,
22,00138-668,1 grs,,"140,00 mm",,rubber-bands-for-black-lids,
23,00138-669,1 grs,,"140,00 mm",,green-rubber-bands,
24,00138-360,,Textile,,,6-jar-cover-pink--light-blue,2000 ml
