,Material,Color,Type
0,Metal,Gold,Wiss
1,Metal,Gold,Wiss
2,Metal,Gold,Wiss
3,Plastic,Orange,Rubber Gasket
4,Plastic,Orange,Rubber Gasket
5,Plastic,Orange,Rubber Gasket
6,Metal,Gold,Wiss
7,Metal,Gold,Wiss
8,Metal,Gold,Wiss
9,Metal,Gold,Wiss
10,Plastic,Yellow,Twist
11,Plastic,Yellow,Twist
12,Plastic,Orange,Twist
13,Plastic,Orange,Twist
14,Plastic,Pink,Twist
15,Plastic,Pink,Twist
16,Plastic,Green,Twist
17,Plastic,Green,Twist
18,Plastic,Transparent,Twist
19,Plastic,Transparent,Twist
20,Plastic,White,Twist
21,Plastic,White,Twist
22,Plastic,White,Twist
23,Plastic,White,Twist
24,Metal,White,Twist
25,Metal,White,Twist
26,Metal,White,Twist
27,Metal,White,Twist
28,Metal,Gold,Twist
29,Metal,Gold,Twist
30,Metal,White,Twist
31,Metal,White,Twist
32,Metal,Gold,Twist
33,Metal,Gold,Twist
34,Metal,Black,Twist
35,Metal,White,Twist
36,Metal,White,Twist
37,Metal,White,Twist
38,Metal,Gold,Twist
39,Metal,Gold,Twist
40,Metal,Black,Twist
41,Metal,White,Twist
42,Metal,White,Twist
43,Metal,Gold,Twist
44,Metal,Black,Twist
45,Metal,Gold,Twist
46,Metal,Black,Twist
47,Metal,Black,Twist
48,Metal,Silver,Twist
49,Metal,White,Twist
50,Metal,White,Twist
51,Metal,Gold,Twist
52,Metal,Gold,Twist
53,Metal,Black,Twist
54,Metal,Black,Twist
55,Metal,Black,Twist
56,Metal,Red,Twist
57,Metal,Gold,Twist
58,Metal,Gold,Twist
59,Metal,White,Twist
60,Metal,White,Twist
61,Metal,White,Twist
62,Metal,Gold,Twist
63,Metal,Gold,Twist
64,Metal,Gold,Twist
65,Metal,Gold,Twist
66,Metal,Black,Twist
67,Metal,Silver,Twist
68,Metal,Gold,Twist
69,Metal,White,Twist
70,Metal,White,Twist
71,Metal,White,Twist
72,Metal,White,Twist
73,Metal,Gold,Twist
74,Metal,Gold,Twist
75,Metal,Gold,Twist
76,Metal,Gold,Twist
77,Metal,Black,Twist
78,Metal,Silver,Twist
79,Metal,Red,Twist
80,Metal,Black,Twist
81,Metal,Gold,Twist
82,Metal,Gold,Twist
83,Metal,Black,Twist
84,Metal,Silver,Twist
85,Metal,Black,Twist
86,Metal,Silver,Twist
87,Metal,Gold,Twist
88,Metal,Silver,Twist
89,Metal,Gold,Twist
90,Metal,White,Twist
91,Metal,White,Twist
92,Metal,Gold,Twist
93,Metal,Gold,Twist
94,Metal,Gold,Twist
95,Metal,Gold,Twist
96,Metal,Black,Twist
97,Metal,Silver,Twist
98,Metal,Green,Twist
99,Metal,White,Twist
100,Metal,White,Twist
101,Metal,White,Twist
102,Metal,Gold,Twist
103,Metal,Gold,Twist
104,Metal,Gold,Twist
105,Metal,Black,Twist
106,Metal,Silver,Twist
107,Metal,Red,Twist
108,Plastic,White,Twist
109,Metal,White,Twist
110,Metal,White,Twist
111,Metal,Gold,Twist
112,Metal,White,Twist
113,Metal,Gold,Twist
114,Metal,Gold,Twist
115,Metal,Black,Twist
116,Metal,White,Twist
117,Metal,White,Twist
118,Metal,Gold,Twist
119,Metal,Gold,Twist
120,Plastic,Orange,Rubber Gasket
121,Plastic,Orange,Rubber Gasket
122,Plastic,Orange,Rubber Gasket
123,Plastic,Orange,Rubber Gasket
124,Plastic,Orange,Rubber Gasket
125,Cork,Brown,Weck
126,Cork,Brown,Weck
127,Cork,Brown,Weck
128,Glass,White,Weck
129,Glass,White,Weck
130,Glass,White,Weck
131,Glass,White,Weck
132,Glass,White,Weck
133,Wood,Brown,Weck
134,Wood,Brown,Weck
135,Plastic,White,Weck
136,Plastic,White,Weck
137,Plastic,White,Weck
138,Plastic,White,Weck
139,Plastic,White,Weck
140,Plastic,Transparent,Weck
141,Plastic,Transparent,Weck
142,Plastic,Transparent,Weck
