,SKU reference,Weight,Material,Color,Name,Diameter,Height,Shape,Capacity
0,007072-7,2 grs,Plastic,plastic-transparent,lid-dessert-150-ml,,,,
1,007072-8,2 grs,Plastic,plastic-transparent,lid-dessert-210-ml,,,,
2,007072-176,3 grs,Plastic,,white-plastic-lid-for-yogurt-jar,,,,
3,007072-199,4 grs,Plastic,plastic-white,plastic-lid-for-jars-lune-to-63,,,,
4,007072-201,4 grs,Plastic,plastic-white,plastic-lid-for-jars-lys-to-63,,,,
5,007072-200,4 grs,Plastic,plastic-white,plastic-lid-for-jars-step-to-63,,,,
6,007072-202,4 grs,Plastic,plastic-white,plastic-lid-for-jars-step-to-82,,,,
7,007072-188,4 grs,Plastic,,lid-snap-pp-68-yellow,"66,10 mm","6,70 mm",,
8,007071-146,4 grs,Metal,metal-white,lid-to-30-white-sterilisation-without-button-,,,,
9,007071-2,5 grs,Metal,,lid-to-30-white-pateurization-without-button,,,,
10,007071-275,5 grs,Metal,metal-white,lid-to-38-deep-white-sterilisation-without-button,,,,
11,007071-116,5 grs,Metal,metal-white,lid-to-38-white-sterilisation-without-button-,,,,
12,007071-333,5 grs,Metal,metal-white,lid-to-38-white-pasteurization-without-button-,,,,
13,007075-89,5 grs,Metal,metal-golden,lid-to-38-golden-sterilisation-without-button-,,,,
14,007071-301,5 grs,Metal,metal-golden,lid-to-38-golden-pasteurization-without-button-,,,,
15,007071-11,5 grs,Metal,metal-white,lid-to-43-white-sterilisation-without-button-,,,,
16,007071-523,5 grs,Metal,metal-white,lid-to-43-white-pasteurization-without-button-,,,,
17,007071-419,5 grs,Metal,metal-golden,lid-to-43-golden-sterilisation-without-button-,,,,
18,007071-368,5 grs,Metal,metal-golden,lid-to-43-golden-pasteurization-without-button-,,,,
19,007071-332,5 grs,Metal,metal-black,tapa-to-43-negro-pasteurizacion-sin-boton,,,,
20,007071-145,5 grs,Metal,metal-white,lid-to-48-white-sterilisation-with-button-,,,,
21,007071-554,5 grs,Metal,metal-white,lid-to-48-white-sterilisation-without-button-,,,,
22,007071-291,5 grs,Metal,metal-white,lid-to-48-white-pasteurization-without-button-,,,,
23,007071-451,5 grs,Metal,metal-golden,lid-to-48-golden-sterilisation-without-button-,,,,
24,007071-335,5 grs,Metal,metal-golden,lid-to-48-golden-pasteurization-without-button-,,,,
25,007071-328,5 grs,Metal,metal-black,lid-to-48-black-pasteurization-without-button,,,,
26,007071-567,7 grs,Metal,metal-white,lid-to-53-white-sterilisation-without-button-,,,,
27,007071-17,7 grs,Metal,metal-white,lid-to-53-white-pasteurization-without-button-,,,,
28,007071-541,7 grs,Metal,metal-golden,lid-to-53-golden-sterilisation-without-button-,,,,
29,007071-568,7 grs,Metal,metal-black,lid-to-53-black-pasteurization-without-button,,,,
30,007071-277,7 grs,Metal,metal-golden,lid-to-58-deep-golden-pasteurization-esbo-bpani,,,,
31,007071-586,7 grs,Metal,metal-black,lid-to-58-deep-black-esterilizable-esbo-bpani,,,,
32,007071-519,7 grs,Metal,metal-black,lid-to-58-deep-black-pasteurization-esbo-bpani,,,,
33,007071-288,7 grs,Metal,metal-silverish,lid-to-58-deep-silver-pasteurization-esbo-bpani,,,,
34,007071-524,7 grs,Metal,metal-white,lid-to-58-white-sterilisation-without-button-,,,,
35,007071-400,7 grs,Metal,metal-white,lid-to-58-white-pasteurization-without-button-,,,,
36,007071-480,7 grs,Metal,metal-golden,lid-to-58-golden-sterilisation-without-button-,,,,
37,007071-492,7 grs,Metal,metal-golden,lid-to-58-golden-pasteurization-without-button-,,,,
38,007071-549,7 grs,Metal,metal-black,lid-to-58-black-sterilization-without-button,,,,
39,007071-383,7 grs,Metal,metal-black,lid-to-58-black-pasteurization-without-button,,,,
40,007071-329,7 grs,Metal,metal-black,lid-to-63-black-pasteurization-without-button,,,,
41,007071-163,7 grs,Metal,metal-red,lid-to-63-red-pasteurization-without-button,,,,
42,007071-25,8 grs,Metal,metal-bee,lid-to-63-abeja-pasteurization-without-button-,,,,
43,007071-100,8 grs,Metal,metal-golden,lid-to-63-deep-dwo-golden-pasteurization-without-button-,,,,
44,007071-534,8 grs,Metal,metal-white,lid-to-63-white-sterilisation-with-button-,,,,
45,007071-526,8 grs,Metal,metal-white,lid-to-63-white-sterilisation-without-button-,,,,
46,007071-302,8 grs,Metal,metal-white,lid-to-63-white-pasteurization-without-button-,,,,
