,SKU reference,Material,Name,Diameter,Color,Shape
0,00738-29,Metal,metal-clip-for-weck-jars,,,
1,00738-28,Latex,weck-rubber-gasket-genuine-latex-100-mm,"100,00 mm",latex-orange,
2,00738-27,Latex,weck-rubber-gasket-genuine-latex-120-mm,"120,00 mm",latex-orange,
3,00738-26,Latex,weck-rubber-gasket-genuine-latex-40-mm,"40,00 mm",latex-orange,
4,00738-25,Latex,weck-rubber-gasket-genuine-latex-60-mm,"60,00 mm",latex-orange,
5,00738-24,Latex,weck-rubber-gasket-genuine-latex-80-mm,"80,00 mm",latex-orange,
6,007073-182,Cork,weck-100-mm-cork-top,"100,00 mm",stopper-cork,cylindrical
7,007073-181,Cork,weck-60-mm-cork-top,"60,00 mm",stopper-cork,cylindrical
8,007073-180,Cork,weck-80-mm-cork-top,"80,00 mm",stopper-cork,cylindrical
9,00738-23,Glass,glass-lid-for-weck-jars-100-mm,,glass-white,cylindrical
10,00738-22,Glass,glass-lid-for-weck-jars-120-mm,,glass-white,cylindrical
11,00738-21,Glass,glass-lid-for-weck-jars-40-mm,,glass-white,cylindrical
12,00738-20,Glass,glass-lid-for-weck-jars-60-mm,,glass-white,cylindrical
13,00738-19,Glass,glass-lid-for-weck-jars-80-mm,,glass-white,cylindrical
14,00738-33,Wood,wooden-cap-for-weck-100-mm,"100,00 mm",stopper-wood,
15,00738-32,Wood,wooden-cap-for-weck-80-mm,"80,00 mm",stopper-wood,
16,007072-219,Plastic,plastic-lid-for-100-mm-weck-jars,,plastic-white,cylindrical
17,007072-218,Plastic,plastic-lid-for-120-mm-weck-jars,,plastic-white,cylindrical
18,007072-212,Plastic,plastic-lid-for-40-mm-weck-jars,,plastic-white,cylindrical
19,007072-217,Plastic,plastic-lid-for-60-mm-weck-jars,,plastic-white,cylindrical
20,007072-216,Plastic,plastic-lid-for-80-mm-weck-jars,,plastic-white,cylindrical
21,007072-215,Plastic,plastic-lid-for-weck-100-mm,,plastic-transparent,cylindrical
22,007072-214,Plastic,plastic-lid-for-weck-60-mm,,plastic-transparent,cylindrical
23,007072-213,Plastic,plastic-lid-for-weck-80-mm,,plastic-transparent,cylindrical
