,Material,Color,Finish,Shape,Capacity,Weight,Height,Grasp,Swing
0,Glass,White,Twist Off,Curved,<= 250 mL,<= 250 g,50 - 100 mm,True,False
1,Glass,White,Swing Top,Cylindrical,<= 250 mL,250 - 500 g,50 - 100 mm,True,True
2,Glass,White,Swing Top,Cylindrical,250 - 500 mL,250 - 500 g,50 - 100 mm,True,True
3,Glass,White,Swing Top,Cylindrical,250 - 500 mL,250 - 500 g,50 - 100 mm,True,True
4,Glass,White,Swing Top,Cylindrical,500 - 750 mL,500 - 750 g,100 - 150 mm,True,True
5,Glass,White,Swing Top,Cylindrical,500 - 750 mL,250 - 500 g,100 - 150 mm,True,True
6,Glass,White,Swing Top,Cylindrical,750 - 1000 mL,500 - 750 g,100 - 150 mm,True,True
7,Glass,White,Swing Top,Cylindrical,750 - 1000 mL,500 - 750 g,100 - 150 mm,True,True
8,Glass,White,Swing Top,Cylindrical,>= 1000 mL,750 - 1000 g,150 - 200 mm,True,True
9,Glass,White,Swing Top,Cylindrical,>= 1000 mL,500 - 750 g,>= 200 mm,True,True
10,Glass,White,Twist Off,Cylindrical,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
11,Glass,White,Twist Off,Curved,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
12,Glass,White,Twist Off,Rectangular,>= 1000 mL,500 - 750 g,150 - 200 mm,True,False
13,Glass,White,Swing Top,Cylindrical,>= 1000 mL,750 - 1000 g,>= 200 mm,True,True
14,Glass,White,Swing Top,Cylindrical,>= 1000 mL,>= 1000 g,>= 200 mm,True,True
15,Glass,White,Twist Off,Curved,>= 1000 mL,>= 1000 g,>= 200 mm,True,False
16,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
17,Glass,White,Rubber Ring,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
18,Glass,White,Twist Off,Octogonal,<= 250 mL,<= 250 g,<= 50 mm,True,False
19,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
20,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,<= 50 mm,True,False
21,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
22,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
23,Glass,White,Twist Off,Hexagonal,<= 250 mL,<= 250 g,50 - 100 mm,True,False
24,Plastic,Transparent,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
25,Glass,White,Rubber Ring,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
26,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
27,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
28,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
29,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
30,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
31,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,<= 50 mm,True,False
32,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
33,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
34,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
35,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
36,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
37,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
38,Glass,White,Rubber Ring,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
39,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
40,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
41,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
42,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
43,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
44,Plastic,Transparent,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
45,Plastic,Transparent,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
46,Glass,White,Rubber Ring,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
47,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
48,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
49,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
50,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
51,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
52,Glass,White,Twist Off,Hexagonal,<= 250 mL,<= 250 g,50 - 100 mm,True,False
53,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
54,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
55,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,50 - 100 mm,True,False
56,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
57,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,50 - 100 mm,True,False
58,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
59,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,50 - 100 mm,True,False
60,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
61,Glass,White,Twist Off,Square,<= 250 mL,<= 250 g,50 - 100 mm,True,False
62,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
63,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
64,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
65,Glass,White,Twist Off,Square,<= 250 mL,250 - 500 g,50 - 100 mm,True,False
66,Glass,White,Twist Off,Hexagonal,<= 250 mL,<= 250 g,50 - 100 mm,True,False
67,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
68,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,100 - 150 mm,True,False
69,Glass,White,Twist Off,Hexagonal,<= 250 mL,<= 250 g,50 - 100 mm,True,False
70,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
71,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,<= 50 mm,True,False
72,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
73,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
74,Glass,White,Swing Top,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,True
75,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
76,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
77,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
78,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
79,Glass,White,Swing Top,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,True
80,Glass,White,Twist Off,Cylindrical,<= 250 mL,<= 250 g,50 - 100 mm,True,False
