,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
0,008081-60,109 ml,110 grs,Glass,"58,00 / 43,50 mm","90,00 mm",glass-white,Twist Off 48,curved,87,
1,008081-230,200 ml,299 grs,Glass,"83,30 mm","73,00 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
2,008081-221,255 ml,314 grs,Glass,"83,30 mm","86,10 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
3,008081-231,435 ml,425 grs,Glass,"98,50 mm","98,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
4,008081-232,625 ml,571 grs,Glass,"113,50 mm","107,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
5,008081-222,635 ml,451 grs,Glass,"108,00 mm","109,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
6,008081-233,875 ml,666 grs,Glass,"113,50 mm","137,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
7,008081-223,900 ml,561 grs,Glass,"108,00 mm","145,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
8,008081-234,1115 ml,766 grs,Glass,"113,50 mm","171,60 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
9,008081-224,1160 ml,626 grs,Glass,"108,00 mm","176,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,,,
10,008081-225,1555 ml,741 grs,Glass,"108,00 mm","225,70 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
11,008081-303,1700 ml,635 grs,Glass,"146,70 / 88,00 mm","154,50 mm",glass-white,Twist Off TO 110,cylindrical,4,
12,008081-4,1700 ml,650 grs,Glass,"135,00 mm","190,50 mm",glass-white,Twist Off TO 100,curved,5,
13,008081-319,1700 ml,750 grs,Glass,"137,90 mm","193,90 mm",glass-white,Twist Off TO 100,rectangular,4,⬇ 18417
14,008081-226,2175 ml,886 grs,Glass,"122,30 mm","251,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
15,008081-227,3200 ml,1401 grs,Glass,"138,00 mm","284,00 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
16,008081-12,4250 ml,1800 grs,Glass,"193,00 mm","300,00 mm",glass-white,Twist Off TO 110,curved,0,
