,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
0,004042-4,5 ml,5 grs,Plastic,"32,00 mm","17,90 mm",plastic-transparent,cylindrical,,,,,
1,008082-17,33 ml,47 grs,Glass,"43,00 mm","40,50 mm",white,cylindrical,Twist Off TO 43,306,,,
2,008082-362,35 ml,46 grs,Glass,"53,00 mm","35,00 mm",glass-white,cylindrical,Weck 40 mm,,,,
3,008081-621,40 ml,60 grs,Glass,"45,10 mm","45,60 mm",white,octogonal,Twist Off 43 Deep,,⬇ 23670,,
4,008081-625,40 ml,60 grs,Glass,"45,10 mm","47,70 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 19503,,
5,008081-637,40 ml,70 grs,Glass,"42,60 mm","45,50 mm",white,square,Twist Off 43 Deep,,⬇ 17916,,
6,008082-22,41 ml,61 grs,Glass,"43,30 mm","50,40 mm",white,cylindrical,Twist Off TO 43,255,,,
7,008081-455,46 ml,80 grs,Glass,"46,50 mm","53,60 mm",white,cylindrical,PP 45,,⬇ 8430,,
8,008081-271,47 ml,60 grs,Glass,"49,00 / 43,00 mm","51,00 mm",white,hexagonal,Twist Off TO 43,85,,,
9,004046-31,50 ml,20 grs,Plastic,"65,60 mm","35,10 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
10,004042-16,50 ml,31 grs,Plastic,"58,00 mm","47,00 mm",plastic-white,cylindrical,,,,,
11,008082-363,50 ml,58 grs,Glass,"67,00 / 49,00 mm","36,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
12,008081-456,60 ml,78 grs,Glass,"50,00 mm","62,00 mm",white,cylindrical,Twist Off 48,,⬇ 14993,,
13,008081-457,60 ml,90 grs,Glass,"47,00 mm","67,60 mm",extrawhite,cylindrical,BG-Twist off,,⬇6,,
14,008081-578,60 ml,92 grs,Glass,"60,80 mm","41,20 mm",white,cylindrical,BG-Twist off,,⬇ 22760,,
15,008082-18,65 ml,65 grs,Glass,"56,50 mm","46,00 mm",white,cylindrical,Twist Off 48,155,,,
16,008081-604,65 ml,70 grs,Glass,"598,00 mm","33,40 mm",white,cylindrical,Twist Off TO 66,,⬇ 5397,,
17,10593,65 ml,78 grs,Glass,"41,00 mm","76,00 mm",glass-white,cylindrical,Twist Off TO 38,,,,
18,008082-31,67 ml,70 grs,Glass,"42,00 mm","77,30 mm",white,cylindrical,Twist Off TO 38,168,,,
19,008081-607,67 ml,100 grs,Glass,"60,20 mm","43,80 mm",white,cylindrical,BG-Twist off,,⬇ 15687,,
20,008081-287,67 ml,110 grs,Glass,"60,70 mm","41,50 mm",glass-white,square,Twist Off TO 58 Tall,156,⬇ 17532,,
21,008081-523,70 ml,62 grs,Glass,"53,40 mm","47,00 mm",white,cylindrical,Twist Off TO 53,,⬇ 19395,,
22,008081-384,70 ml,70 grs,Glass,"59,70 mm","36,00 mm",glass-white,cylindrical,Twist Off TO 66,,,,
23,008081-351,70 ml,80 grs,Glass,"61,25 mm","41,35 mm",glass-white,cylindrical,Twist Off TO 58 Tall,150,,,
24,008081-453,71 ml,80 grs,Glass,"50,60 mm","81,90 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 15240,,
25,008082-390,75 ml,79 grs,Glass,"60,00 mm","46,00 mm",glass-white,cylindrical,Twist Off TO 58 Tall,,,,
26,10283,80 ml,120 grs,Glass,"42,00 mm","109,00 mm",glass-white,cylindrical,Screw Finished - X Grinder Special,,,,
27,008082-377,80 ml,137 grs,Glass,"60,00 mm","55,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
28,008081-655,82 ml,100 grs,Glass,"42,90 mm","103,40 mm",white,cylindrical,BG-Screw,,⬇ 13884,,
29,008081-653,85 ml,90 grs,Glass,"42,00 mm","110,00 mm",white,cylindrical,BG-Screw,,⬇ 25904,,
30,008081-458,90 ml,84 grs,Glass,"49,90 mm","78,20 mm",white,cylindrical,PP 45,,⬇ 8722,,
31,008081-654,90 ml,100 grs,Glass,"42,50 mm","103,50 mm",white,cylindrical,PP 35,,⬇ 10698,,
32,008082-61,99 ml,113 grs,Glass,"46,00 mm","94,80 mm",white,cylindrical,Twist Off TO 43,92,,,
33,POCL0100CB11XXPR,100 ml,12 grs,Plastic,"50,00 mm","59,10 mm",plastic-white,,,,,,
34,POCL0100CB12XXPR,100 ml,13 grs,Plastic,"42,50 mm","86,50 mm",plastic-white,,,,,,
35,POCP0100CG28XXPP,100 ml,14 grs,Plastic,"71,50 mm","39,20 mm",plastic-black,,,,,,
36,POCP0100CA1HXXGU,100 ml,17 grs,Plastic,"47,30 mm","86,80 mm",plastic-topaz,,,,,,
37,004046-32,100 ml,20 grs,Plastic,"65,60 mm","49,90 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
38,004046-34,100 ml,20 grs,Plastic,"71,60 mm","48,00 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
