,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Technical drawing,Units per pasteurizer
0,008081-230,200 ml,299 grs,Glass,"83,30 mm","73,00 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
1,008081-235,245 ml,155 grs,Glass,"87,50 mm","62,50 mm",glass-white,Le Parfait - Finish Wiss 82 mm,cylindrical,,
2,38006,255 ml,237 grs,Glass,"78,00 / 76,00 mm","69,00 mm",glass-white,Le parfait Bistrot 71,cylindrical,⬇ 38006,
3,008081-221,255 ml,314 grs,Glass,"83,30 mm","86,10 mm",glass-white,Le Parfait - Finish Latex 70 mm,cylindrical,,
4,008081-365,385 ml,218 grs,,"81,60 mm","111,42 mm",glass-white,Twist Off TO 82,cylindrical,,
5,008081-236,415 ml,239 grs,Glass,"103,50 mm","73,70 mm",glass-white,Le Parfait - Finish Wiss 100 mm,cylindrical,,
6,008081-294,415 ml,250 grs,Glass,"84,00 mm","74,00 mm",glass-white,Le Parfait - Finish Wiss 100 mm,cylindrical,,24
7,37894,425 ml,335 grs,Glass,"100,00 / 88,00 mm","84,00 mm",glass-white,Le parfait Bistrot 86,cylindrical,⬇ 37894,
8,008081-231,435 ml,425 grs,Glass,"98,50 mm","98,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
9,008081-237,539 ml,295 grs,Glass,"103,50 mm","93,80 mm",glass-white,Le Parfait - Finish Wiss 100 mm,cylindrical,,
10,37895,580 ml,318 grs,Glass,"100,00 / 88,20 mm","114,00 mm",glass-white,Le parfait Bistrot 86,cylindrical,⬇ 37895,
11,008081-232,625 ml,571 grs,Glass,"113,50 mm","107,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
12,008081-222,635 ml,451 grs,Glass,"108,00 mm","109,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
13,008081-238,825 ml,400 grs,Glass,"103,50 mm","142,80 mm",glass-white,Le Parfait - Finish Wiss 100 mm,cylindrical,,
14,008081-233,875 ml,666 grs,Glass,"113,50 mm","137,10 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
15,008081-223,900 ml,561 grs,Glass,"108,00 mm","145,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
16,008081-375,1000 ml,450 grs,Glass,"108,00 mm","165,60 mm",white,Le Parfait - Boca Rosca 100 mm,cylindrical,,
17,008081-239,1020 ml,510 grs,Glass,"103,50 mm","174,00 mm",glass-white,Le Parfait - Finish Wiss 100 mm,cylindrical,,
18,008081-234,1115 ml,766 grs,Glass,"113,50 mm","171,60 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
19,008081-224,1160 ml,626 grs,Glass,"108,00 mm","176,10 mm",glass-white,Le Parfait - Finish Latex 85 mm,,,
20,008081-240,1282 ml,555 grs,Glass,"116,00 mm","170,00 mm",glass-white,Le Parfait - Finish Wiss 110 mm,cylindrical,,
21,008081-225,1555 ml,741 grs,Glass,"108,00 mm","225,70 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
22,008081-241,1610 ml,715 grs,Glass,"116,00 mm","213,10 mm",glass-white,Le Parfait - Finish Wiss 110 mm,cylindrical,,
23,008081-376,2000 ml,771 grs,Glass,"123,00 mm","239,00 mm",white,Le Parfait - Boca Rosca 100 mm,cylindrical,,
24,008081-226,2175 ml,886 grs,Glass,"122,30 mm","251,60 mm",glass-white,Le Parfait - Finish Latex 85 mm,cylindrical,,
25,008081-377,3000 ml,1208 grs,Glass,"138,00 mm","270,00 mm",white,Le Parfait - Boca Rosca 110 mm,cylindrical,,
26,008081-227,3200 ml,1401 grs,Glass,"138,00 mm","284,00 mm",glass-white,Le Parfait - Finish Latex 100 mm,cylindrical,,
