,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Technical drawing,Length,Width
0,004042-4,5 ml,5 grs,Plastic,"32,00 mm","17,90 mm",plastic-transparent,cylindrical,,,,
1,004046-31,50 ml,20 grs,Plastic,"65,60 mm","35,10 mm",plastic-transparent,cylindrical,TO-063-PET,,,
2,004042-16,50 ml,31 grs,Plastic,"58,00 mm","47,00 mm",plastic-white,cylindrical,,,,
3,MK BA 0080 A00,80 ml,7 grs,Plastic,"69,20 mm","36,50 mm",plastic-transparent,conical,,⬇ MK BA 0080 A00,,
4,POCL0100CB11XXPR,100 ml,12 grs,Plastic,"50,00 mm","59,10 mm",plastic-white,,,,,
5,POCL0100CB12XXPR,100 ml,13 grs,Plastic,"42,50 mm","86,50 mm",plastic-white,,,,,
6,POCP0100CG28XXPP,100 ml,14 grs,Plastic,"71,50 mm","39,20 mm",plastic-black,,,,,
7,POCP0100CA1HXXGU,100 ml,17 grs,Plastic,"47,30 mm","86,80 mm",plastic-topaz,,,,,
8,004046-32,100 ml,20 grs,Plastic,"65,60 mm","49,90 mm",plastic-transparent,cylindrical,TO-063-PET,,,
9,004046-34,100 ml,20 grs,Plastic,"71,60 mm","48,00 mm",plastic-transparent,cylindrical,TO-063-PET,,,
10,004042-17,100 ml,55 grs,Plastic,"58,00 mm","55,00 mm",plastic-white,cylindrical,,,,
11,POCP0150CT18XXPP,150 ml,15 grs,Plastic,"72,00 mm","50,20 mm",plastic-transparent,,,,,
12,POCP0150CA11XXPP,150 ml,18 grs,Plastic,"53,20 mm","95,50 mm",plastic-topaz,,,,,
13,004047-104,150 ml,18 grs,Plastic,"48,20 mm","126,00 mm",plastic-transparent,oval,Thread 24/410,,,
14,004047-105,150 ml,18 grs,Plastic,"45,10 mm","138,50 mm",plastic-transparent,oval,Thread 24/410,,,
15,004046-33,150 ml,20 grs,Plastic,"65,60 mm","64,70 mm",plastic-transparent,cylindrical,TO-063-PET,,,
16,POCP0150CB12XXNO,150 ml,25 grs,Plastic,"50,34 mm","104,37 mm",plastic-white,,,,,
17,MK BA 0180 A00,180 ml,13 grs,Plastic,"93,30 mm","45,50 mm",plastic-transparent,conical,,⬇ MK BA 0180 A00,,
18,POCP0200CT18XXPP,200 ml,18 grs,Plastic,"71,50 mm","64,20 mm",plastic-transparent,,,,,
19,004046-38,200 ml,30 grs,Plastic,"85,00 mm","57,10 mm",plastic-transparent,cylindrical,TO-082-PET,,,
20,POCP0200CT19XXPP,200 ml,36 grs,Plastic,"104,00 mm","42,00 mm",plastic-transparent,,,,,
21,POCP0250CT18XXPP,250 ml,18 grs,Plastic,"71,50 mm","77,60 mm",plastic-transparent,,,,,
22,POCH0250CN11XXML,250 ml,20 grs,Plastic,,"98,00 mm",plastic-white,,,,,
23,004047-107,250 ml,20 grs,Plastic,"45,10 mm","160,00 mm",plastic-transparent,,,,,
24,004046-36,250 ml,20 grs,Plastic,,"75,10 mm",plastic-transparent,square,TO-063-PET,,"85,1 mm","85,1 mm"
25,POCL0250CB11XXPR,250 ml,23 grs,Plastic,,"83,40 mm",plastic-white,,,,,
26,004047-108,250 ml,24 grs,Plastic,,"125,40 mm",plastic-transparent,,,,,
27,PA BA 0725BL A00,250 ml,26 grs,Plastic,"70,00 mm","88,00 mm",plastic-white,cylindrical,,⬇ PA BA 0725BL A00,,
28,POCP0250CB1ZXXNO,250 ml,28 grs,Plastic,"63,91 mm","111,13 mm",plastic-white,,,,,
29,POCP0250CA11XXPP,250 ml,29 grs,Plastic,"63,00 mm","111,50 mm",plastic-topaz,,,,,
30,004046-39,250 ml,30 grs,Plastic,"85,00 mm","65,90 mm",plastic-transparent,cylindrical,TO-082-PET,,,
31,POCP0250CB11XXNO,250 ml,37 grs,Plastic,"63,91 mm","111,13 mm",plastic-white,,,,,
32,POCP0300CT17XXPP,300 ml,25 grs,Plastic,"71,20 mm","91,50 mm",plastic-transparent,,,,,
33,POCY0300CT17XXPP,300 ml,25 grs,Plastic,"71,20 mm","91,50 mm",plastic-transparent,,,,,
34,004046-40,300 ml,30 grs,Plastic,"85,00 mm","74,50 mm",plastic-transparent,cylindrical,TO-082-PET,,,
35,POCP0300CB1ZXXNO,300 ml,37 grs,Plastic,"68,99 mm","118,95 mm",plastic-white,,,,,
36,POCP0360CT11XXGU,360 ml,28 grs,Plastic,"64,00 mm","128,80 mm",plastic-transparent,,,,,
37,MK BA 0365 A00,365 ml,20 grs,Plastic,"93,80 mm","85,00 mm",plastic-transparent,conical,,⬇ MK BA 0365 A00,,
38,004046-37,385 ml,27 grs,Plastic,,"104,00 mm",plastic-transparent,square,TO-063-PET,,68 mm,68 mm
39,POCP0400CT18XXPP,400 ml,35 grs,Plastic,"71,30 mm","119,00 mm",plastic-transparent,,,,,
40,POCP0400CB12XXNO,400 ml,38 grs,Plastic,"72,69 mm","130,00 mm",plastic-white,,,,,
41,POCP0450CT19XXPP,450 ml,36 grs,Plastic,"104,00 mm","72,50 mm",plastic-transparent,,,,,
42,POCP0500CT14XXPP,500 ml,29 grs,Plastic,"79,00 mm","137,00 mm",plastic-transparent,,,,,
43,004041-130,500 ml,32 grs,Plastic,"62,00 mm","199,70 mm",plastic-transparent,cylindrical,Thread 24/410,,,
44,POCP0500CA11XXPP,500 ml,33 grs,Plastic,"78,00 mm","139,00 mm",plastic-topaz,,,,,
45,POCH0500CB11XXLO,500 ml,34 grs,Plastic,"95,00 mm","103,00 mm",plastic-white,,,,,
46,POCH0500CB11XXBP,500 ml,36 grs,Plastic,"101,00 mm","100,00 mm",plastic-white,,,,,
47,POCL0500CB11XXPR,500 ml,36 grs,Plastic,,"105,30 mm",plastic-white,,,,,
48,POCH0500CB11XXBH,500 ml,39 grs,Plastic,"100,00 mm","93,50 mm",plastic-white,,,,,
49,PA BA 1050BL A00,500 ml,43 grs,Plastic,"100,00 mm","87,00 mm",plastic-white,cylindrical,,⬇ PA BA 1050BL A00,,
50,PA BA 1050BL B00,500 ml,45 grs,Plastic,"103,00 mm","87,00 mm",plastic-white,cylindrical,,⬇ PA BA 1050BL B00,,
51,POCP0500CT17XXPP,500 ml,46 grs,Plastic,"93,00 mm","103,40 mm",plastic-transparent,,,,,
52,POCH0500CN13XXML,500 ml,48 grs,Plastic,"80,00 mm","130,00 mm",plastic-white,,,,,
