,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
0,008081-287,67 ml,110 grs,Glass,"60,70 mm","41,50 mm",glass-white,Twist Off TO 58 Tall,square,156,⬇ 17532
1,008081-274,106 ml,110 grs,Glass,"67,00 mm","67,00 mm",glass-white,Twist Off 48,square,84,
2,008081-77,106 ml,115 grs,Glass,"70,11 / 56,50 mm","61,50 mm",glass-white,Twist Off 48,square,104,
3,008081-288,156 ml,160 grs,Glass,"69,80 mm","56,70 mm",glass-white,Twist Off TO 66 Tall,square,80,⬇ 17534
4,008081-273,212 ml,150 grs,Glass,"62,50 mm","80,00 mm",glass-white,Twist Off TO 58,square,72,
5,008081-215,212 ml,160 grs,Glass,"84,00 / 67,00 mm","76,20 mm",glass-white,Twist Off TO 58,square,39,
6,008081-290,212 ml,260 grs,Glass,"69,80 mm","74,70 mm",glass-white,Twist Off TO 66 Tall,square,60,⬇ 17535
7,008082-136,270 ml,222 grs,Glass,"87,00 / 87,00 mm","95,00 mm",glass-white,Twist Off TO 63,square,24,
8,008082-414,282 ml,225 grs,Glass,"89,00 / 89,00 mm","89,00 mm",glass-white,Twist Off TO 63,square,24,
9,008082-356,290 ml,331 grs,Glass,"108,00 mm","47,00 mm",glass-white,Weck 100 mm,square,,
10,008082-321,314 ml,250 grs,Glass,"73,35 mm","96,60 mm",glass-white,,square,,
11,008081-40,314 ml,250 grs,Glass,"96,00 / 76,00 mm","88,50 mm",glass-white,Twist Off TO 63,square,27,
12,008081-291,314 ml,280 grs,Glass,,"99,50 mm",glass-white,Twist Off TO 66 Tall,rectangular,42,⬇ 17536
13,008082-23,377 ml,240 grs,Glass,"79,50 mm","121,90 mm",glass-white,Twist Off TO 66,square,30,
14,008082-367,545 ml,426 grs,Glass,"108,00 mm","113,00 mm",glass-white,Weck 100 mm,square,,
15,008082-1576,580 ml,350 grs,Glass,"85,15 mm","119,20 mm",glass-white,Twist Off TO 82 Alta,square,,
16,008082-1577,720 ml,450 grs,Glass,"85,15 mm","144,50 mm",glass-white,Twist Off TO 82 Alta,square,,
17,008082-355,795 ml,506 grs,Glass,"107,00 mm","162,00 mm",glass-white,Weck 100 mm,square,,
18,008081-319,1700 ml,750 grs,Glass,"137,90 mm","193,90 mm",glass-white,Twist Off TO 100,rectangular,4,⬇ 18417
