,Inside,Color,State,Shape,Material,Object,Finish,Metal Clip,Rubber Ring,Handle,Closure
0,Full,Opaque,Open,Cylindrical,Plastic,Jar,Snap,False,False,False,Snap
1,Full,Transparent,Closed,Complex,Glass,Bottle,Complex,False,False,False,No
2,Full,Translucent,Closed,Oval,Plastic,Container,Snap,False,False,False,Snap
3,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
4,Empty,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
5,Empty,Transparent,Closed,Cylindrical,Plastic,Container,Twist,False,False,False,Screw
6,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
7,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
8,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
9,Full,Transparent,Closed,Complex,Plastic,Container,Complex,False,False,False,No
10,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
11,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
12,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
13,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
14,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
15,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
16,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
17,Empty,Transparent,Closed,Complex,Glass,Container,Complex,False,False,False,No
18,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
19,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
20,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
21,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
22,Full,Transparent,Closed,Conical,Glass,Bottle,Twist,False,False,False,Screw
23,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
24,Full,Opaque,Open,Oval,Glass,Container,Snap,False,False,False,No
25,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
26,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
27,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
28,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
29,Empty,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
30,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
31,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Crown
32,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
33,Empty,Transparent,Closed,Complex,Glass,Bottle,Snap,False,False,False,Snap
34,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
